    BXA nested sampling keep shorter 
    burst: bn080916009
    data: GBMwLAT
    model: grbm 
    prob                        cstat                      alpha                        beta                      enaught                    norm
    0.146480443750308914E-98    0.774965035009828171E+03   -0.109484695557853584E+01   -0.233492889963557815E+01    0.607719256411902961E+03   -0.172490977101766418E+01
    0.155143579492092862E-98    0.774847616854495072E+03   -0.125185198196111713E+01   -0.228214248277551857E+01    0.173926001279293382E+04   -0.181491576291323575E+01
    0.160035575110836270E-98    0.774783026599479967E+03   -0.122278143669337780E+01   -0.269232007033607967E+01    0.272213781200108406E+04   -0.188358802529397096E+01
    0.162260056307475450E-98    0.774752918201429566E+03   -0.132836673370380431E+01   -0.223783507434003237E+01    0.173510776265608206E+04   -0.188535046930709171E+01
    0.177811491280747056E-98    0.774567370966669841E+03   -0.117464917021512250E+01   -0.239000296746186613E+01    0.880591389531346181E+03   -0.177504735628076382E+01
    0.199438812181719153E-98    0.774335303902543274E+03   -0.113676132137282870E+01   -0.209591196279466097E+01    0.365431801982648892E+03   -0.173440914599807883E+01
    0.216870838505360966E-98    0.774165214945265006E+03   -0.114691175169314974E+01   -0.224510213573107631E+01    0.146099936705433083E+04   -0.189896995092278331E+01
    0.251260363072613121E-98    0.773868339460237621E+03   -0.124011851963480524E+01   -0.248509396247661130E+01    0.145950358506823477E+04   -0.183866859485365275E+01
    0.258105547228651563E-98    0.773812081671304441E+03   -0.117791652596563523E+01   -0.262756417120114172E+01    0.225905218148522135E+04   -0.189214918576648827E+01
    0.266443456358263428E-98    0.773745994769741628E+03   -0.131291101512614361E+01   -0.246113021063436133E+01    0.323496079655892618E+04   -0.192276386178847147E+01
    0.276575702757912734E-98    0.773668849723706444E+03   -0.122515816252257181E+01   -0.264135029642721086E+01    0.255319585248155408E+04   -0.184044277057596339E+01
    0.305361472176291164E-98    0.773468326410318582E+03   -0.123592058154655327E+01   -0.238299716108247939E+01    0.158428856688459882E+04   -0.190665858179224301E+01
    0.341596645133666889E-98    0.773241557587745547E+03   -0.124638707271341964E+01   -0.262808515291219003E+01    0.311985404866802082E+04   -0.191447773618669537E+01
    0.344507984601223749E-98    0.773222084334309102E+03   -0.101107058949407147E+01   -0.220199199143373026E+01    0.329599668718615476E+03   -0.173902412958330643E+01
    0.425746618343485461E-98    0.772796130116025097E+03   -0.121729566721002413E+01   -0.245389496517669237E+01    0.121816789131528844E+04   -0.181365771054941227E+01
    0.566399246548764115E-98    0.772222720445137611E+03   -0.122676768653710866E+01   -0.254643219602193405E+01    0.190101921285798903E+04   -0.182366073207564838E+01
    0.737723170040736155E-98    0.771691681577635677E+03   -0.101289029597027813E+01   -0.222380235637890245E+01    0.571132188377099965E+03   -0.183893178365215526E+01
    0.742806808181621183E-98    0.771675446879400511E+03   -0.127049629949026155E+01   -0.274087747257922487E+01    0.437115182062312033E+04   -0.188512897184977923E+01
    0.889447197696976931E-98    0.771312618582274922E+03   -0.116345119577827738E+01   -0.241105091224156798E+01    0.820965034550340533E+03   -0.180108822954375825E+01
    0.114326703276333147E-97    0.770808028347455888E+03   -0.128273741146906062E+01   -0.224592921887883179E+01    0.232896545677010181E+04   -0.188627961714306203E+01
    0.133579363329106623E-97    0.770494257117271331E+03   -0.120689184458724164E+01   -0.215517971116010720E+01    0.120582742921439535E+04   -0.188961330357044766E+01
    0.167329495879236806E-97    0.770041218887879154E+03   -0.130794019041241860E+01   -0.253924520583720703E+01    0.353239147787953016E+04   -0.185934329627747985E+01
    0.176133748536340933E-97    0.769936161400816445E+03   -0.130079894177424293E+01   -0.241699557954668443E+01    0.377125837608406437E+04   -0.189122956550197152E+01
    0.233047774775165686E-97    0.769373661734413304E+03   -0.979948539296998433E+00   -0.229131008311900430E+01    0.769228422932556896E+03   -0.185373527876601507E+01
    0.241436365365648749E-97    0.769300436801574619E+03   -0.127603411196089311E+01   -0.255731403060504725E+01    0.435378155340545982E+04   -0.190893569246536288E+01
    0.244753064281516919E-97    0.769270649080656653E+03   -0.124046530190530113E+01   -0.265494865839316319E+01    0.342693752361974475E+04   -0.185235297222162387E+01
    0.258726914783684820E-97    0.769157102438671018E+03   -0.113517925231773908E+01   -0.251190821897351668E+01    0.199875830555953962E+04   -0.190386928948585421E+01
    0.260484012630237234E-97    0.769141065708516749E+03   -0.102347059520978689E+01   -0.240682611300626270E+01    0.589524704394550668E+03   -0.178117187272249566E+01
    0.356262874152307599E-97    0.768512310945612626E+03   -0.108926150917343811E+01   -0.236042635513909360E+01    0.124929728492930553E+04   -0.189512431183913677E+01
    0.430379667157941020E-97    0.768131813151418669E+03   -0.128465432051295281E+01   -0.263125228802405964E+01    0.330908118683478915E+04   -0.190478641878339516E+01
    0.437029715554326179E-97    0.768098646299887378E+03   -0.118803399970275336E+01   -0.270142397786715982E+01    0.282954141564645533E+04   -0.186328211811880529E+01
    0.460629806319940120E-97    0.767990959288947920E+03   -0.117977986914633881E+01   -0.239099246444744651E+01    0.237833339560370587E+04   -0.191093019921781782E+01
    0.499746149480300150E-97    0.767825448146497365E+03   -0.130466111301273990E+01   -0.222145380489102706E+01    0.195658100121114171E+04   -0.189939716386422930E+01
    0.533228898855776720E-97    0.767693247111935079E+03   -0.127847742125541330E+01   -0.250357860410247124E+01    0.270539824356941426E+04   -0.191826550294045539E+01
    0.537282799485933887E-97    0.767675599514706960E+03   -0.876358393745652720E+00   -0.203191473116074572E+01    0.282770273224395112E+03   -0.165061842621373422E+01
